titel,aktualitaet,preis,land,versand,link
Shop on eBay,Brand New,$20.00,,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,Brand New,$20.00,,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Konzert Gitarre ?,Gebraucht |,"CHF 82,29",aus Deutschland,"+CHF 54,55 Versand",https://www.ebay.ch/itm/157224832173?_skw=gitarre&itmmeta=01K7XRMX9PN7PZ8GBP5Q8QV1HZ&hash=item249b548cad:g:buEAAOSwOtxoSxXN&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dTeXQ8NH%2FWwiDNmJ0Ku3IJek0tllL2M4ZlxoKbz4SfignfUuyuc4M7Q9TmjKGzCp%2FGExZOeITsiutldTYXyU0qTHcleN9o4A3jpvCKNl7tvvUIwnaEMmie0Ybnx0wyyjCkssnY59Ru%2B5H7%2BcOEBjXPFUsomcNSbblvIfpOia0MgX%2FTF97zbwDFbIo2CwCVUmrghklgOuZ2ISNzgAg0tcGpc3BDn6zDAsNC0IXhspvceT%2FJOpf%2F1z9wyW7dGOjKp%2FKhv8gbk2EXs1nQzixoAprS%7Ctkp%3ABFBMptXTuL9m
4/4 Konzertgitarre natur + Gigbag Tasche schwarz Klassikgitarre mit Nylonsaiten,Brandneu |,"CHF 33,59",aus Deutschland,"+CHF 27,63 Versand",https://www.ebay.ch/itm/196855329529?_skw=gitarre&itmmeta=01K7XRMX9PNDRVMN30MWJKAPFM&hash=item2dd57df2f9:g:jYEAAOSwQ-NnSHVK&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cegKder1jUEJnNQ95Ld6OxbTS78oHGj0Y94ATGt4--wnSA5alZj3JyvAQxjZxp1BHkIXB%2B6lEVVxhuqUlsENQOWWGUuFl%2BFP3piQlCqbdiuc%2Bo%2BS%2B0cUD%2FE86rzoWcfgMjBik%2BmVXMbJxVNPvgoiz4m6o3oJe1Nv8RidgEUI4XsB%2B%2B0LmDkFp3QDkANr0VBoAlak7OlWxjekyBi2cJCmpOKyWkpvbwJa%2FOpDabXiYHsOW2%2F4m5IJtn%2FRvYCXRFaTaU5gZ8jgoLnV5VVvaOPj7K%7Ctkp%3ABFBMptXTuL9m
Marquis Konzertgitarre CG-10 Einsteiger Nylon-Saiten,Gebraucht |,"CHF 119,94",aus Deutschland,"+CHF 14,99 Versand",https://www.ebay.ch/itm/317308219700?_skw=gitarre&itmmeta=01K7XRMX9PCY216A97XDJHTXSQ&hash=item49e10b3134:g:c2sAAeSw~wdozgkM&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dzNulmn2WsF1NP1lJV%2FlXnYADZG3r%2F13mqQ7sYjcWb5AOqiCG72cv75476XPJ4Zjkf5xgqTsIJ3pzV8iolw%2BhZljZgCPVfD9YLrwK3vw%2BckDEHZ%2BNvhknlGSh%2BZ5gPJ95fWXAipy2AKg73C0bCwjpppdK2Jzflge6GAqWBBa6vhnJe3qqhphn4bRumMGzt2BFAYa4QHMS81Ow1VwzOX8rRTXuSqH2k641dDi9I%2FZkUBLZHvM9T07%2FBlgZ%2B6RpScHJlBS8eZw2lGGZAR68bia5z%7Ctkp%3ABFBMptXTuL9m
Eko Gitarre – Modell Nr. 9051 (ca.,Gebraucht |,"CHF 128,93",aus Deutschland,"+CHF 58,97 Versand",https://www.ebay.ch/itm/257097928982?_skw=gitarre&itmmeta=01K7XRMX9PZHEZV18K2DVR7XTE&hash=item3bdc3b1116:g:qy8AAeSw~V9ovZ0n&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ddn3eAGxFN5N%2FTzjMZIqcsNGzV2VumdrHlrVnXqOhiRDNbbZ0%2BcrenW9YI8TRbp2oDj1MNbCxlGWcrsmW5RiDHbo6bZp1cYUFSP5XfeOLTO48iz3XkLZc6j1nbd0lggXsB9nFbPhRvC3VDlyXDOerz8E5X%2BRfYV805ZnA2KgasOxFfWHRQ6n%2F7sr2ZtILWmcPrQGfJBSLIORePLHHfk7c7auL9JuNFbjatI48ru7kZpbVnE2NVF3c4acOm9eCsWI9VvAlF7ME7gq%2BII9pzVQJc%7Ctkp%3ABFBMptXTuL9m
4/4 Konzertgitarre - Klassik - 10-teiliges EXCLUSIV SET - TASCHE + STÄNDER GL1 !,Brandneu |,"CHF 54,59",aus Deutschland,"+CHF 27,63 Versand",https://www.ebay.ch/itm/191966448107?_skw=gitarre&itmmeta=01K7XRMX9PB69JXHNSQ7AB4BK0&hash=item2cb21789eb:g:v20AAOSwc-dfxSfS&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fTDn4jjf9X--iNMq4UFYZPMvnog2V2CdDSW9Z89PwSn2cgEWXUd69pCQc4LDKC%2B8U8NRSeQWBe8iEdqXyZoWLvIrNN%2Bni2tgpMAszI0WeUiJLDZ7BbbEXTW%2B8SAlUSUpJMOwsKuZDfJqq2MNOhkjLPrSIX0ljPZrcSoHpUgBE9JuQmeYP%2BvTEdXQN%2BmCM7mz8p%2FvPAqmEoseeFC5%2FoIgShh8pUhxilNZ76VAmUhGZ3bw%3D%3D%7Ctkp%3ABk9SR6bV07i_Zg
4/4 MAHAGONI CLASSIC KONZERTGITARRE GITARRE EINSTEIGER SCHULE QUALITÄT TOP NYLON,Brandneu |,"CHF 36,95",aus Deutschland,"+CHF 27,63 Versand",https://www.ebay.ch/itm/193149175126?_skw=gitarre&itmmeta=01K7XRMX9P1W8X52J0V9HA3VXR&hash=item2cf8968556:g:DVEAAOSwWoRen~1A&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cfhsFYV2QvZEVPMC2zKMEW6EoUfyUgYcnAAqqNLBCq%2Fh%2FS1SKkh5ZbLHk0eWPROjVpDpRcI98COo4--H%2Fj8TwY9QEXe%2B%2Bpwv1VevKKf7CuW0d7kUIDTlZJHB6ln1MEFzT1por0E%2BBR64hQ6%2BsByYdppsqnsgGtkbEKZDC3AN9xtwCSuXtiLzVh%2FpdMP2QlDBGCOtz7v5x8z61MJwJaznrm10CRYv%2FSiIRqdNBKnpdHNXRjb4M1eZ4x4PnoRxsy0kWfurhXrPYI4B0zUmx4hFUr%7Ctkp%3ABk9SR6bV07i_Zg
Gitarre OSCAR TELLER 7/8 Konzertgitarre Modell 22 von 1973 - Vintage Guitar,Gebraucht |,"CHF 178,91",aus Deutschland,"+CHF 49,96 Versand",https://www.ebay.ch/itm/176891773145?_skw=gitarre&itmmeta=01K7XRMX9P3WKFBRJ26SP787CS&hash=item292f9240d9:g:ecgAAOSwwA5nxhYz&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eODJanHX6XbwKsE72qc713VhXtUHYIK6kQtlAbwCEYdiFVAWTiYs%2B2TNc26TGa7Z28nGC%2FarGdKGv7fiEkgAAnRaxYGYzCs0sRmf60tSleTnb1Sx8%2Bt%2BGy9v9JBD2hLFiKz2d0T3YjX9uuKlen2njZjsdf1sw%2BBS7Mh1nVa5c3TC%2FD%2FKpn3%2Fabc5S4WDXD0CT9xlciAp9bOYJh6Bq3WMBYibI%2FN1g9sFW%2FTwxVWwSXkA%3D%3D%7Ctkp%3ABk9SR6bV07i_Zg
Ortega R-121-L-3/4 Konzertgitarre für Linkshänder incl. Tasche,Brandneu |,"CHF 155,38",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/136605857340?_skw=gitarre&itmmeta=01K7XRMX9P18CQMSZTJ9X6ETSH&hash=item1fce57f63c:g:yGUAAeSwybxo8QIf&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fj0WR2gYMJGeq0ejywve0PGtpVJW2T%2FQUEuAUkIvOSj0F8Ytt8UrnvtECva7NwbyTgG6iMj6xilxoD9ciFosDg1x%2F9JXFtvASr%2BbYXHCs2pJ1iBRU9xWNB76MliktVtVt78pgp%2Be%2F1uIuxoR8%2BqIt%2B4BA6mb4bh91xeScvLdNEsm3IbwX8mj%2FlvJ3KJxp%2BMY6W8i97jNimexEha9fivoGX9X87Evrfc3H0AvpXsNIfJ3S1ZrUymHmKaxg5ylXAuX6IYoKXLPex9mZzvkoVqwfS%7Ctkp%3ABk9SR6bV07i_Zg
La Mancha Romero Granito 32  1/2 Konzertgitarre,Brandneu |,"CHF 116,75",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/146899858358?_skw=gitarre&itmmeta=01K7XRMX9PBVQA6HNBYVBYPNAQ&hash=item2233e9f3b6:g:MukAAeSwR05o8QLL&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dEJpdOXaA7QsOaTQVsSR7OZRXiFjCKTOzsJsr5pnzzZ7uoQiwWSW3wXOPBX%2FpYQf4cZg8YPB0lxciC%2BLEzHXgXeIW4qyG6g7DGGH1h7KOAwmtLKIIXQXGS6Ky%2Fn2UluLIqyH78CMm5Ijke5AlrPPhqHxc7nzDPimI8ERpmSBXaiTO6b26ax4kxRGUewrg%2F0HQ2ABeZfTr2%2FwrK0Ao9pFqnXGljJEUoRt2L4UL9FTYx2kaVcGRtEQul1mBjZEGATRhqhmzTDkIcUnGneGSU3coR%7Ctkp%3ABk9SR6bV07i_Zg
Gitarre Esge ca. 105 cm,Gebraucht |,"CHF 448,77",aus Deutschland,"+CHF 34,98 Versand",https://www.ebay.ch/itm/317428980265?_skw=gitarre&itmmeta=01K7XRMX9PWV2SBBN6TT4G568X&hash=item49e83dda29:g:DqEAAeSw58VowTdd&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eezlA%2BaFlZWRrGclT6xlqZf6TUgzXzih9zSn3oI3RYEVW97OnOR3BqkxsdNZQORwgbBsuVJbzXUrwuL4Cj5r9Fy%2FKk8JPvcmadNNwZbn71bCNq%2FY3w18Mrm6p%2B5vyJD6DWlPj7bPkJRLvoXCLzkbguxbik2utjq42EqMICOsloqgXVfGfsZwAYR%2FBTiI1qEm9sq8MGQfTv59p379ojlhemlRkakcLPNs1LeE3BL2fb2zEuSc3bsFM2C2gEKZ%2BH35VP86UC3v0xPBKHuv97tiyR%7Ctkp%3ABk9SR6bV07i_Zg
AKUSTIKGITARRE KONZERTGITARRE 4/4 KLASSIK MATT FINISH EINSTEIGER MODELL 39 ZOLL,Brandneu |,"CHF 33,59",aus Deutschland,"+CHF 27,63 Versand",https://www.ebay.ch/itm/144287407464?_skw=gitarre&itmmeta=01K7XRMX9P6F2JCAZF4BPYF2B0&hash=item2198331d68:g:h3gAAOSwQY9eS7ZX&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1czDRevLlGFPH9AnW9rQsI3oW%2F5nNEUAQBP%2FH%2BY01uWnQFHqoGVGxFwGSfTglvVoBy70lX9%2BUKv8HZg3ueLvqiqLuDb1K5yJF457TFcuOxuHA350jxcUsQ3AgUOWIfYDshPiaiKYSRYkiJyuRqY1s0GJ80DTTc8cVoXiIjEQvKI2Cx88xa9GWpwrTXp%2Fa9pnmnItMSRwRIFGSQ43zJQMf3KSUEiTZNLo25f3E7efK0NPgcB4URV2BulDM8az%2Fti9b3yqV04IyjnaNDJrAXGnrCz%7Ctkp%3ABk9SR6bV07i_Zg
Ortega R-121-3/4OC  3/4  Konzertgitarre incl.Tasche,Brandneu |,"CHF 175,54",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/146899858377?_skw=gitarre&itmmeta=01K7XRMX9PMBV8R4N54YCMP3C6&hash=item2233e9f3c9:g:UBYAAeSwfHto8QMI&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1e7t3YHUXEmcd21%2FtecUU7WrBZRxrw%2Bg4vmC1KVbRuobHsKnE%2FLqLZGhKXrWDfaXJvYsYx7SiWmZgmhitZsUgqsbfxxIFn410OFBJHNg7ZecR6rQxXCCRx7eBRtMtgZWfTUUq%2B1t0yctQUeWQDPZs63%2BV2QCpcrOjFMJTbfVY60orzmt7%2FWCjePLlMUzDvZ7DtftEA4s6L9fE7AG7SctlesS3KIsvB2ukyxPI%2B5QAShIg%3D%3D%7Ctkp%3ABk9SR6bV07i_Zg
