titel,aktualitaet,preis,land,versand,link
Shop on eBay,Brand New,$20.00,aus Schweiz,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,Brand New,$20.00,aus Schweiz,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Konzert Gitarre ?,Gebraucht |,"CHF 82,29",aus Deutschland,"+CHF 54,55 Versand",https://www.ebay.ch/itm/157224832173?_skw=gitarre&itmmeta=01K7XTDGPKJE510Y5RRX5PV60Y&hash=item249b548cad:g:buEAAOSwOtxoSxXN&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dTeXQ8NH%2FWwiDNmJ0Ku3IJek0tllL2M4ZlxoKbz4SfignfUuyuc4M7Q9TmjKGzCp%2FGExZOeITsiutldTYXyU0qTHcleN9o4A3jpvCKNl7tvvUIwnaEMmie0Ybnx0wyyjAkSEwH3GkuLmVNMUE0%2FwhwxcDjbxzIzIzA2QdkOvhpIx5H20k2CGmfypOvKXiJ0LUxRECmT0t47kLg4uxl4u0eep81FoY7VeB8bAmvEtUHlrqbVZ2pwu7bwaat5D45OxAz2IWsPHNqb1v8HNxk584y%7Ctkp%3ABFBM5Iu2ur9m
4/4 Konzertgitarre natur + Gigbag Tasche schwarz Klassikgitarre mit Nylonsaiten,Brandneu |,"CHF 33,59",aus Deutschland,"+CHF 27,63 Versand",https://www.ebay.ch/itm/196855329529?_skw=gitarre&itmmeta=01K7XTDGPK2SPD00Y64F2AQ9PP&hash=item2dd57df2f9:g:jYEAAOSwQ-NnSHVK&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cegKder1jUEJnNQ95Ld6OxbTS78oHGj0Y94ATGt4--wnSA5alZj3JyvAQxjZxp1BHkIXB%2B6lEVVxhuqUlsENQOWWGUuFl%2BFP3piQlCqbdiuc%2Bo%2BS%2B0cUD%2FE86rzoWcfgO4Hxbvg80wcTb6aJnhawp0G0Ufkv28D3xRQs49RMlhwNZP%2BV5H2NgnEbuVKAIrrVNpdW4L2nVk8syTd5SxD9ZUO8B%2BBGXxUEb9bZhstd2khSpe1jQNuHrQkmK7Yrh6Rq%2BUCHECXAshaV2SPjX927Bx%7Ctkp%3ABFBM5Iu2ur9m
Marquis Konzertgitarre CG-10 Einsteiger Nylon-Saiten,Gebraucht |,"CHF 119,94",aus Deutschland,"+CHF 14,99 Versand",https://www.ebay.ch/itm/317308219700?_skw=gitarre&itmmeta=01K7XTDGPKD5GXT6T9PSVD8DNX&hash=item49e10b3134:g:c2sAAeSw~wdozgkM&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dzNulmn2WsF1NP1lJV%2FlXnYADZG3r%2F13mqQ7sYjcWb5AOqiCG72cv75476XPJ4Zjkf5xgqTsIJ3pzV8iolw%2BhZljZgCPVfD9YLrwK3vw%2BckDEHZ%2BNvhknlGSh%2BZ5gPJ94PGJrgTlgHp%2FZmSy9Hn0iCEyzrnaUr%2BmfOuFbUMktEdNaqjl4PCYRS96shcWlvwbtwBYHRU%2F1OurLu3Zalh78STmAibf%2BPFFmxzAbLoG8rTF0RKwXSH5AD8aXjCzegg0eg%2FV74NHOASCxldxzcJpwG%7Ctkp%3ABFBM5Iu2ur9m
Eko Gitarre – Modell Nr. 9051 (ca.,Gebraucht |,"CHF 128,93",aus Deutschland,"+CHF 58,97 Versand",https://www.ebay.ch/itm/257097928982?_skw=gitarre&itmmeta=01K7XTDGPK87SM0G7K9HF41DF3&hash=item3bdc3b1116:g:qy8AAeSw~V9ovZ0n&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ddn3eAGxFN5N%2FTzjMZIqcsNGzV2VumdrHlrVnXqOhiRDNbbZ0%2BcrenW9YI8TRbp2oDj1MNbCxlGWcrsmW5RiDHbo6bZp1cYUFSP5XfeOLTO48iz3XkLZc6j1nbd0lggXt3Whn2GPgWLrrxuafD7%2BZ27i8TqxpBYvN2eEYK8bqM%2BEqgTUBZwNuoALjCkjjBMBfbwxyOaikOksQPUNzNvYVzIKkZLSSUnS6WVkypy2BWfUWlABAgdgn0ptrVP9kcE20vzp4OD7yiwMTPhMiAUljk%7Ctkp%3ABFBM5Iu2ur9m
4/4 Konzertgitarre - Klassik - 10-teiliges EXCLUSIV SET - TASCHE + STÄNDER GL1 !,Brandneu |,"CHF 54,59",aus Deutschland,"+CHF 27,63 Versand",https://www.ebay.ch/itm/191966448107?_skw=gitarre&itmmeta=01K7XTDGPKMM58QRQ2ZMHER1C3&hash=item2cb21789eb:g:v20AAOSwc-dfxSfS&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fTDn4jjf9X--iNMq4UFYZPMvnog2V2CdDSW9Z89PwSnxTRzQjAOhEkbjVOa4GMoRmtKft%2BNVXgZI9Bhlv9qFBwaDtkOKLNtspvxyTxtZtNN%2Bvy76%2B2yeRELBkpOr%2BmuAaEceMj5mvw7WN9z%2B1DodTHE5KC0qykZuoIUMLvpZk3gMa0V1P5ihoMUZW7cgta3vW2%2F4VNSvvMWhtG6Vi8LT5RveXBDyl1Mi97y9Z96l9ZJg%3D%3D%7Ctkp%3ABk9SR-SLtrq_Zg
4/4 MAHAGONI CLASSIC KONZERTGITARRE GITARRE EINSTEIGER SCHULE QUALITÄT TOP NYLON,Brandneu |,"CHF 36,95",aus Deutschland,"+CHF 27,63 Versand",https://www.ebay.ch/itm/193149175126?_skw=gitarre&itmmeta=01K7XTDGPK8HCMDJ33Z2N7A049&hash=item2cf8968556:g:DVEAAOSwWoRen~1A&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fmk5R3TQ5ryHbxgs0vcjSE%2FcKUjGSCePHKVtIMdkQTOXLvte0N67n7nBNbE%2FUt53jZRTRFgLJxT5RgpR9efJyaWKKEYmLvUpUJNZzDUZ2Y1wQCEwUjsdA9VD1jTAXkHgK6CNOkpBGzI8VMZPjTRQELGKUSmH6mns8c8LKU0CGrTLYQAqeKjaYtXrlqgGp4w9pvoL5ZVMRxjGt2JwXzjAhVJuqS%2BNREAPJ%2BbliVj9tC%2Bg%3D%3D%7Ctkp%3ABk9SR-SLtrq_Zg
Gitarre OSCAR TELLER 7/8 Konzertgitarre Modell 22 von 1973 - Vintage Guitar,Gebraucht |,"CHF 178,91",aus Deutschland,"+CHF 49,96 Versand",https://www.ebay.ch/itm/176891773145?_skw=gitarre&itmmeta=01K7XTDGPKY01VQPDFXEEHY9SB&hash=item292f9240d9:g:ecgAAOSwwA5nxhYz&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1coHKlfbGm84O38u8mOyJw1B%2BXIGHt0kclLiFH%2B7KFRHwdO9%2FFu7zR%2BJnRHcIBsYHtZuEoUIAHgSP%2Buzj1rFEHU6b2yZNDau%2Be0atRFHP2BFs5CublCmzDWCDgu8VKOZu64b985Rcmwk62IB6MNa1twUym1gxYz6N2hxnpfckPVMCKKVcb9OE1DqBOrExur0pRNHoAo5dyoO%2BcPrJqPNPraRFVZjqEMPWu6aVLHqeW2GG4z%2F%2BwIh%2F56KZnsIymS1fVVS%2F7gAWmMd5NPE%2B8YgOVU%7Ctkp%3ABk9SR-SLtrq_Zg
AKUSTIKGITARRE KONZERTGITARRE 4/4 KLASSIK SATIN FINISH EINSTEIGER MODELL 39 ZOLL,Brandneu |,"CHF 33,59",aus Deutschland,"+CHF 27,63 Versand",https://www.ebay.ch/itm/143535914560?_skw=gitarre&itmmeta=01K7XTDGPKNCTW1WZ0X70VMG11&hash=item216b683e40:g:h3gAAOSwQY9eS7ZX&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1e9Qee%2BQz1ZWA0e87jrNiWGvJLUoOrp0t%2BKBErqp21oKDmjI9n68KJZLpe1jQiG2sAGXd4seAIZGs%2B8qHGBAeDoGsEywSZzTE8DYnYQuPg%2BOjWusP1HWZe%2BjCxD4IXNrrmu%2B0fMfWSqdQCzNHlQJe5lp%2FSP151PrlDzc0%2BeAjheCECl%2Bh1I0o1znuTeWG26i%2BfZryjFzkVmLt4afa5MYHi0aFjkEofqg6c9KvmIc2OASA%3D%3D%7Ctkp%3ABk9SR-SLtrq_Zg
Ortega R-121-L-3/4 Konzertgitarre für Linkshänder incl. Tasche,Brandneu |,"CHF 155,38",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/136605857340?_skw=gitarre&itmmeta=01K7XTDGPK3YH72KDSPRZECDBV&hash=item1fce57f63c:g:yGUAAeSwybxo8QIf&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ekrg8p96jwjITapRvNv94UCQ12IVmegPcIr5%2FjtsLAnr0VMDk8%2B%2FQ92ytxp%2F6ZFRcAjpgRrwPWSVkUmipu9sRgL62hgT%2BiEla3ffiIM3tc9wCtnYK%2BcF4WaGTmarTYC6%2ByjNs6OCKKgLt%2FLLfMdawKY8yo1YCNv6V1GLGVULU4p1kf%2BeTCwrXiR9bJarxwqDOGejZzSRySzzjm7gzBAtTmI99Am36RmhNZixSiHAusvw%3D%3D%7Ctkp%3ABk9SR-aLtrq_Zg
La Mancha Romero Granito 32  1/2 Konzertgitarre,Brandneu |,"CHF 116,75",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/146899858358?_skw=gitarre&itmmeta=01K7XTDGPKP0911KKF0HXM4NHE&hash=item2233e9f3b6:g:MukAAeSwR05o8QLL&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cjx9uE3JVqEvk8BPLQffLS1sqo141MjJwXEySnuHex%2BtYQS0%2FgmcGr11WTmvrIGtJoFIw1O8pA9U3qKeGQ%2Bv%2FnLRAx2Pt9OcuIkrIHhESbOBODQV9ias5emDqvRZEl0YR2tLbFR7B%2FSg%2B072RvNOXzRc0c2nNOdpJ208Ar0gkUC4LZ4EIMGkMMubxGmzhzo12d2fYk%2BPCVygDOgiHxHMsettPlylkFUrwe8mvcKqusdw%3D%3D%7Ctkp%3ABk9SR-aLtrq_Zg
