title,product_condition,price,currency,product_origin,shipping_cost,price_with_shipping,product_name,link,image
SKI ELAN EXPLORE 6 - 2024 - 160 cm   -USED (022JG),Gebraucht,31.44,CHF,Kanada,2.55,33.99,Ski,https://www.ebay.ch/itm/277557977505?_skw=ski&itmmeta=01KC1D11A89NMQ2QJR8KMN46DV&hash=item409fbea1a1:g:bQsAAeSwedhpKcph&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fYXp0y4e5AENsiEusdOZ%2FXyu8c6Zo929sPk8I1GCfxz68H1aGo4hXtWOoKyWmh%2F7yB8FPmqnKCWdrE12W6rwXo9uLNZh5nyWUPSDYXS2frDQ%2BUOJz0jWwjKmd9x6qKO%2FeQkejwoHQa6LM0BxCF71vnkzW59%2Fu9kE8TddhhoJp4ya2fgI3v8OnCNShSJ24h3eW7dAxUdU2nEFOhyA7esBZwgd%2BEkf2DXZPt84MRi4e8dg%3D%3D%7Ctkp%3ABk9SR96VhK3gZg,https://i.ebayimg.com/images/g/bQsAAeSwedhpKcph/s-l500.webp
SKI ELAN ELEMENT 176 - 2023 - 176 cm   -USED (MC013),Gebraucht,43.67,CHF,Kanada,3.54,47.21,Ski,https://www.ebay.ch/itm/277560231194?_skw=ski&itmmeta=01KC1D11A8NDHCD5Y2X97YAV3M&hash=item409fe1051a:g:WtYAAeSw89FpIJ6s&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dw4OR%2ByRIz0vq6OzaxdmAwbkEoUejOXayQJTX8zkiR%2FpOJOnvnpy3hZ%2FLI7CkxFMATRz7ZRXrr8nKSvw5mJE%2B2aYcdNUMhdI4%2BBbgrlPIM9EdWRMe%2Flfxt0pwx%2F2uRJrRmHKe%2F7TyUZH0cu%2FbX8HrYVwKlmsGayfvVznXI70LJRxEW5auNBwLHncT2zsCDiYemS9aUzVq28jrDfq%2BHH1glT6qm9usul0pnxw4jSrE%2BFQ%3D%3D%7Ctkp%3ABk9SR96VhK3gZg,https://i.ebayimg.com/images/g/WtYAAeSw89FpIJ6s/s-l500.webp
"Kang Skistöcke Poles aus Flax *NEU & OVP; Nachhaltig, 115-135cm; -70%*",Brandneu,51.13,CHF,Deutschland,8.49,59.620000000000005,Ski,https://www.ebay.ch/itm/156414550558?_skw=ski&itmmeta=01KC1D11A8R77C4W54WTP731FE&hash=item246b08a21e:g:vg4AAOSwq2hm6oSh&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1frf%2BPph7vEMqJjmVpLPMO3ZwIaMmkXoQwPQDS%2BwCbXoPzufw8ghCPZs%2BtvbZSLeC%2BiC0UWVPcxoGHyEhXgnf3BmqFzx0gK7n%2BwZX%2F2AAM1F2lxUN7Ndpz3vJPAJDXYE0RQ4sN6PIOXx3oXtyc8fW2AOn6StuZYCw62S%2BFmPz3mHh0XbDBncREO0BaZVtx3vLIhKfIDsUuIEvqqBSXq7ZWbBPQ%2BEebc4WKlh4PD1jTdnpRWUMEt5d5Poa2VmGMfRMfAnjufYjgp4EBmE9E5m85g%7Ctkp%3ABk9SR96VhK3gZg,https://i.ebayimg.com/images/g/vg4AAOSwq2hm6oSh/s-l500.webp
Ski-Spitzenschoner Protektoren Bumper in 3 Größen- Freeride-Carving-Kinder-Ski,Brandneu,12.78,CHF,Deutschland,8.53,21.31,Ski,https://www.ebay.ch/itm/167093895754?_skw=ski&itmmeta=01KC1D11A94CSJEBC81SFP78YF&hash=item26e792824a:g:kdsAAOSwQ9xcbm6q&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dc4rOY0laB6l5jT3%2BAjajzyk9sQbDLoUMnN9pCVmiyHJFRMgedwCxpQrFkkPaflGsf1dn1b%2FAEq9Y4LiImE6tHPviSBvqzjBNKOaxQ1%2FpMZwn0J774WWgBzYIyS%2FCEz8PzV4IACB7RZe54C9pI0NH49fRNchFV9jEmEI08zxof%2Fl9EayKjepQTD38piI%2Ff3L47Z%2B9nbzjITw1zK1tt5ni9U%2FU7xvcXZrESrBNDOckII10Go4aRT33pagEYE9QcnbmgljK63EYbblaC0S%2B7RbmC%7Ctkp%3ABk9SR96VhK3gZg,https://i.ebayimg.com/images/g/kdsAAOSwQ9xcbm6q/s-l500.webp
Fischer KOA 110cm Jr Skis with Fischer FJ4 Bindings,Gebraucht,61.01,CHF,Vereinigte Staaten von Amerika,68.79,129.8,Ski,https://www.ebay.ch/itm/277518261009?_skw=ski&itmmeta=01KC1D11A9XBBNZ2PZY7S714ET&hash=item409d609b11:g:XlwAAeSwemNpHdwU&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cB3cbEZi4WJliltSpxGvUpdIDKuynsfR6liqhtxe8zFHZV2qkSt0kkh5lSpY7N3Vy8f8pYdtadyiCnj%2F0%2Fnqc7YKcwuN9k7cjd1zzLQWoG8PWPBKNlNa886gUeMe5CXF0S0q89sg2KEUQ5io7IxwaypurK2UWgK1tnb7s%2BjMP6AQMAhq0WjuA7zJnW5Dc2SoyQRS9SKf2pV%2B2S1U%2BVPZoyofVyruAjYSVZDB3LnbwjqfNnUhK09xPOHfs7JaxUgViXYNV1X%2FgdAn0zHjF9iXsw%7Ctkp%3ABk9SR96VhK3gZg,https://i.ebayimg.com/images/g/XlwAAeSwemNpHdwU/s-l500.webp
"Original Kneissl Big Foot Kurzski,rot,Austria Tirol,Snowblades,Trickski #1",Gebraucht,0.94,CHF,Österreich,0.08,1.02,Ski,https://www.ebay.ch/itm/147015709439?_skw=ski&itmmeta=01KC1D11A9NRBWXN20SWS5JE1K&hash=item223ad1b2ff:g:upwAAeSwCQBpNZPO&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fLOtXeZyQ3QqU%2FaEGnpPX3Dm8pWmt6LqSkSdgk47fYE1M7YzdaNh5%2BrkfbWIiFJ0rW3YEz3MwNM62JmgIzXocpSRLOREsrOw%2FOEBy9IwZFFey4unjkV5sRLwwJMqApEeqYAZH08wFufgYLcNB8QXdG3Ikl5pjx0KgosDwdpdwtkY%2BfqJZ%2F5XjO6gkpaqLin5bEQcVcExFUs17kbUEF8dFq%2B4MADcBbFZKzB6xcZfRF7hfc3zwkgX4kzC6mwvE2tSM1MJ74MzJ4aB4xyG9jijDm%7Ctkp%3ABk9SR96VhK3gZg,https://i.ebayimg.com/images/g/upwAAeSwCQBpNZPO/s-l500.webp
"Vintage Velocite’Super Wooden Skies, Aminateu/ Cambi Model 70” Early Ski Japan",Gebraucht,40.33,CHF,Vereinigte Staaten von Amerika,3.27,43.6,Ski,https://www.ebay.ch/itm/116909682611?_skw=ski&itmmeta=01KC1D11A9A4G12Y83BJ8Y3HSN&hash=item1b385c2fb3:g:T74AAeSwH9ZpL0xl&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cOylkl5BPLzcHd7JxFZEbwkxuaf5e37YHnE9sRr%2FPiqWXdz2HHig8dKkge8BZmNBJ4hMzBc1%2F63Zf90Ld3CnQalRNPmObF1kNeA0kDJYeL2X1%2FkAP%2FbclfCDdT61IIOn7X8fN1H63YqBhve%2FjUtkXtzuN%2FW0bFHtLTF%2FbzE8fbPem45br5cpcnvwAwvv3PpsyOr59QznYVDubFFZWodeX5qRIptrZQ%2Bqo5zdnCC84s4A%3D%3D%7Ctkp%3ABk9SR96VhK3gZg,https://i.ebayimg.com/images/g/T74AAeSwH9ZpL0xl/s-l500.webp
Neues Angebot Blizzard Spider Kinderski blau mit Tyrolia 620 Bindung - 80 cm,Gebraucht,51.89,CHF,Vereinigte Staaten von Amerika,53.3,105.19,Ski,https://www.ebay.ch/itm/177658375797?_skw=ski&itmmeta=01KC1D11A9VK05N78BWFG3M4A6&hash=item295d43ae75:g:8KUAAeSwtN9pNydo&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d%2BXitbs0HqGmSln5T9QAaqdpwMsIIj6GjMhcdwcO9zCbGQmO3ZDVtXfBR8Meurh8GfZhFgowrfomhdLC1zYijQ8gAnCi5yKz2hPdPF2V2badTmlVCcNSc6b2UlHFLqZpsEMPFxKtkNKeUSbrvo3hlFp%2FA2sQxHj69FiIq0lOLWWIWD6g3ublQI1pekKaUmw%2Br%2FHrYgX0N30o4UsjMX%2FPGYrAm%2F0k0Wm%2BQmuRZuM5AvJCpKB9QM4yETW6an3O9kqswuQYcEM7pCCRXfRutaEnP2%7Ctkp%3ABk9SR-CVhK3gZg,https://i.ebayimg.com/images/g/8KUAAeSwtN9pNydo/s-l500.webp
SALOMON SERIE 3 ABFAHRT JUGEND SKIBINDUNG SET QUADRAX ARBEITSSKI ROT SCHWARZ,Gebraucht,8.06,CHF,Vereinigte Staaten von Amerika,0.65,8.71,Ski,https://www.ebay.ch/itm/326898866019?_skw=ski&itmmeta=01KC1D11A9NT65BWVXMFH0HXGZ&hash=item4c1cb0d763:g:xfUAAOSwngplTPIL&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1evj7jzZC3U8uFi6zYp1I0t7GIdwpQoxQU9aYcbpcTDysUD4h0a4prrbF930VPCuDlZyFPLUgef1W%2FwuLiICN9j%2BQz7QIdlxDheAErq71Qv9Tgi3K6sey3JZirKC1Dyjx%2Fhtt44y2poRE%2B83vpuEIABk3tiOoaSOnEG8jek3GeaPG2i4ZbCJppjFFnPVISuA1vzVukl3mcN60%2BZBXubf%2FAuE6R4yYSJAg%2Bk986AgMc00w%3D%3D%7Ctkp%3ABk9SR-CVhK3gZg,https://i.ebayimg.com/images/g/xfUAAOSwngplTPIL/s-l500.webp
Kang Teleskop Skistöcke 90-135cm *NEU & OVP; nachhaltig; -50%*,Brandneu,63.92,CHF,Deutschland,8.49,72.41,Ski,https://www.ebay.ch/itm/156414706680?_skw=ski&itmmeta=01KC1D11A973G1FMTAMK232CW1&hash=item246b0b03f8:g:Qk4AAOSwVKBm6qGR&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dqNiMpvWhH2ZA0UnvoCib41uBKwDfVoJwV32WQJNolqilL%2FBkWyvLF4KZIRm8l%2FES%2BORapWhnRGddNm5wejmRrb%2BvZn0ObaoH%2FkAwuJrWAqQAOA%2BJb7uxcoJY%2BVDorVQxbZE90rc0dmrjvhgaDxzHaXIajBNDavieb9cya18ZF%2FFxhozdetJfBcoauMw14YNu0BYOmB6tyW34AtAxE58xOdcUS8WrJB76n7OVtXAekhA%3D%3D%7Ctkp%3ABk9SR-CVhK3gZg,https://i.ebayimg.com/images/g/Qk4AAOSwVKBm6qGR/s-l500.webp
Dynastar Omeglass 155 cm World Cup RACING Series Ski ohne Bindung 101-66-114 mm,Gebraucht,44.37,CHF,Vereinigte Staaten von Amerika,3.59,47.959999999999994,Ski,https://www.ebay.ch/itm/376760307455?_skw=ski&itmmeta=01KC1D11A9F3E5431X6S2CEDSB&hash=item57b8aa0eff:g:rtQAAeSwUTtpEEEK&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d91%2FKSg276EbPqGzWiX%2FR%2Fj%2FizdaHWYH8nvuE5TNxlxN5bNKTnXijAqsTh%2BXAToZ6LgeSIipOhTVvxaIdxvBLcgQL2VpZQKN%2BFhlmrpfzYsKGXavjoOUOdFB3gwMRMQdF52yETT2sxqvzB7as3drX--2R5rNqRjY1T8vgz%2Fw0QiGnIwScWbptEoSXm7LiViW5z9RmyTE1y%2BerdgY7JYMUE4pdZJo959MTZDDFnNYv7WH91hO33eU2CU%2BIneYktD10sl5JMPuF2Y%2B5KVzE1dCGX%7Ctkp%3ABk9SR-CVhK3gZg,https://i.ebayimg.com/images/g/rtQAAeSwUTtpEEEK/s-l500.webp
